Days,PANDEM2 Outputs.confirmed cases,Hospital.total in hospital,Hospital.hospital admissions,Hospital.hospital discharges,Hospital.ICU admissions,Hospital.ICU discharges,Hospital.deaths in hospital,Hospital Resources.Beds,Hospital Resources.occupied ward beds,Hospital.physical ward beds available,Hospital.expected beds freed,Hospital.Patients Waiting for Ward Bed,Hospital.In Ward Overflow,Hospital.physical ward beds needed,Hospital.physical ward beds gap,Hospital Resources.max available nurses,Hospital Resources.Absent Nurses,Hospital Resources.Nurses,Hospital Resources.occupied nurses,Hospital Resources.available nurses,Hospital Resources.expected nurses freed,Hospital Resources.total nurses needed for incoming patients,Hospital Resources.nurses gap,Hospital Resources.extra staff needed for overflow patients,Hospital Resources.staffed ward beds available,Hospital Resources.staffed ward beds needed,Hospital Resources.staffed ward beds gap,Hospital.ward admissions,Hospital.moving to ward overflow,Hospital Resources.ICU Beds,Hospital Resources.occupied ICU beds,Hospital.physical ICU beds available,Hospital.expected ICU beds freed,Hospital.Patients Waiting for ICU,Hospital.In ICU Overflow,Hospital.physical ICU beds needed,Hospital.physical ICU beds gap,Hospital Resources.max available ICU nurses,Hospital Resources.Absent ICU Nurses,Hospital Resources.ICU Nurses,Hospital Resources.occupied ICU nurses,Hospital Resources.available ICU nurses,Hospital Resources.expected ICU nurses freed,Hospital Resources.total ICU nurses needed for incoming patients,Hospital Resources.ICU nurses gap,Ventilators.ventilators in stock,Ventilators.ventilators in use,Ventilators.ventilators available,Ventilators.expected ventilators freed,Ventilators.ventilators needed for incoming ICU patients,Ventilators.gap in ventilators,Hospital Resources.staffed equipped ICU beds available,Hospital Resources.staffed equipped ICU beds needed,Hospital Resources.staffed equipped ICU beds gap,Hospital.moving to ICU overflow,Hospital.at risk of dying from lack of ICU,PPE.PPE,PPE.PPE needed,PPE.PPE gap,PPE.total PPE used,PPE.interrupted PPE supply,Hospital.Total needed ICU,Hospital.Total ICU admissions,Hospital.Total needed Ward Bed,Hospital.Total Ward admissions,Hospital.Potential deaths due to lack of ICU,Hospital.total deaths,Hospital.peak ICU demand,Hospital.peak demand ICU beds,Hospital.peak demand ICU nurses,Hospital.peak demand ventilators,Hospital.peak ward demand,Hospital.peak demand ward beds,Hospital.peak demand nurses,Hospital.peak demand PPE,Hospital Resources.activate surge strategy 1,Hospital Resources.activate surge strategy 2,PPE.activate surge strategy 3,Hospital Resources.activate surge strategy 4
11,1.56912360618,0.149239167859,0.0737052409387,0.0208484194107,0.00485359148674,0.000569753826782,0.0011837785989,12500,0.0873232226625,12499.9126768,0.00886733970534,0.0445277695206,0.0,0.0445277695206,0,1500,0,1500,0.0174646445325,1499.98253536,0.00177346794107,0.00890555390412,0.0,0.0,7499.91267678,0.0445277695206,0.0,0.0445277695206,0.0,2500,0.0125345841892,2499.98746542,0.000452337707015,0.00485359148674,0.0,0.00485359148674,0,750,0,750,0.0062672920946,749.993732708,0.000226168853508,0.00242679574337,0.0,2000,0.00701936714595,1999.99298063,0.000253309115928,0.00271801123258,0,1499.98746542,0.00485359148674,0.0,0.0,0.0,43736.8189753,0.175321431373,0.0,0.526506860988,0,0.0206480290068,0.0157944375201,0.197381177279,0.152853407758,0.0,0.00325611329099,0.0158783018382,0.0158783018382,0.00793915091908,0.00889184902937,0.110708965721,0.110708965721,0.0221417931442,0.150404720317,0,0,0,0
12,1.97796084098,0.191115982973,0.0927179516057,0.0267934068036,0.00615978064442,0.000752783037795,0.00154539871606,12500,0.112223693418,12499.8877763,0.0119227744964,0.0561712820787,0.0,0.0561712820787,0,1500,0,1500,0.0224447386837,1499.97755526,0.00238455489929,0.0112342564157,0.0,0.0,7499.88777631,0.0561712820787,0.0,0.0561712820787,0.0,2500,0.0165612268315,2499.98343877,0.000629085672037,0.00615978064442,0.0,0.00615978064442,0,750,0,750,0.00828061341575,749.991719387,0.000314542836019,0.00307989032221,0.0,2000,0.00927428702564,1999.99072571,0.000352287976341,0.00344947716088,0,1499.98343877,0.00615978064442,0.0,0.0,0.0,43736.6211808,0.225197494187,0.0,0.72430139278,0,0.0273961552173,0.0212363745729,0.259446002835,0.203274720756,0.0,0.00460279690237,0.0207455068668,0.0207455068668,0.0103727534334,0.0116174838454,0.141410353062,0.141410353062,0.0282820706125,0.193274120229,0,0,0,0
13,2.48959728306,0.243263418463,0.116457666054,0.0341745300847,0.00778950592686,0.00098170998534,0.00199634543706,12500,0.143139393025,12499.8568606,0.0157290308448,0.0707368998342,0.0,0.0707368998342,0,1500,0,1500,0.028627878605,1499.97137212,0.00314580616895,0.0141473799668,0.0,0.0,7499.85686061,0.0707368998342,0.0,0.0707368998342,0.0,2500,0.0215976196775,2499.97840238,0.000854505625124,0.00778950592686,0.0,0.00778950592686,0,750,0,750,0.0107988098387,749.98920119,0.000427252812562,0.00389475296343,0.0,2000,0.0120946670194,1999.98790533,0.000478523150069,0.00436212331904,0,1499.97840238,0.00778950592686,0.0,0.0,0.0,43736.3679893,0.28734410687,0.0,0.97749291477,0,0.0359196518795,0.0281301459527,0.33759637207,0.266859472236,0.0,0.00635130319088,0.0268294506569,0.0268294506569,0.0134147253285,0.0150244923679,0.179634565508,0.179634565508,0.0359269131015,0.24670819215,0,0,0,0
14,3.12880379431,0.30828052122,0.146043766906,0.0433633048293,0.00982309449416,0.00126786039922,0.00255908594367,12500,0.181626407662,12499.8183736,0.020467600469,0.0889380902811,0.0,0.0889380902811,0,1500,0,1500,0.0363252815324,1499.96367472,0.0040935200938,0.0177876180562,0.0,0.0,7499.81837359,0.0889380902811,0.0,0.0889380902811,0.0,2500,0.0278929287828,2499.97210707,0.00113997521564,0.00982309449416,0.0,0.00982309449416,0,750,0,750,0.0139464643914,749.986053536,0.000569987607818,0.00491154724708,0.0,2000,0.0156200401184,1999.98437996,0.000638386120756,0.00550093291673,0,1499.97210707,0.00982309449416,0.0,0.0,0.0,43736.0457334,0.364854556136,0.0,1.29974880595,0,0.046658688158,0.0368355936639,0.435841538652,0.346903448371,0.0,0.00860108864579,0.034430935646,0.034430935646,0.017215467823,0.0192813239617,0.227286150363,0.227286150363,0.0454572300727,0.313363489478,0,0,0,0
15,3.92594776678,0.389356232452,0.182844083253,0.054815513877,0.0123588751559,0.00162533979413,0.00326143020414,12500,0.229593775401,12499.7704062,0.0263681664766,0.111646106424,0.0,0.111646106424,0,1500,0,1500,0.0459187550802,1499.95408124,0.00527363329533,0.0223292212848,0.0,0.0,7499.77040622,0.111646106424,0.0,0.111646106424,0.0,2500,0.0357574754708,2499.96424252,0.00149979477409,0.0123588751559,0.0,0.0123588751559,0,750,0,750,0.0178787377354,749.982121262,0.000749897387044,0.00617943757794,0.0,2000,0.0200241862636,1999.97997581,0.000839885073489,0.0069209700873,0,1499.96424252,0.0123588751559,0.0,0.0,0.0,43735.637332,0.461530758392,0.0,1.70815024964,0,0.0601598998875,0.0478010247316,0.559145820089,0.447499713665,0.0,0.0114764951384,0.043922997664,0.043922997664,0.021961498832,0.0245968786919,0.286699244347,0.286699244347,0.0573398488695,0.396506738507,0,0,0,0
16,4.91817347028,0.490398608504,0.228526185252,0.0690895100293,0.0155171271762,0.00207163238577,0.00413768574346,12500,0.28938014672,12499.7106199,0.0337181734317,0.139925422122,0.0,0.139925422122,0,1500,0,1500,0.0578760293439,1499.94212397,0.00674363468633,0.0279850844243,0.0,0.0,7499.71061985,0.139925422122,0.0,0.139925422122,0.0,2500,0.0455759124869,2499.95442409,0.00195186534397,0.0155171271762,0.0,0.0155171271762,0,750,0,750,0.0227879562435,749.977212044,0.000975932671984,0.00775856358809,0.0,2000,0.0255225109927,1999.97447749,0.00109304459262,0.00868959121866,0,1499.95442409,0.0155171271762,0.0,0.0,0.0,43735.1215112,0.582038167999,0.0,2.22397102273,0,0.0771001349534,0.0615830077772,0.713641051662,0.57371562954,0.0,0.0151326144462,0.0557665413396,0.0557665413396,0.0278832706698,0.0312292631502,0.360731907644,0.360731907644,0.0721463815289,0.500148260993,0,0,0,0
17,6.1508085314,0.616190327387,0.28511802465,0.0868685423276,0.0194447678275,0.00262832983917,0.00523006413052,12500,0.363847297707,12499.6361527,0.042874651765,0.175075005391,0.0,0.175075005391,0,1500,0,1500,0.0727694595414,1499.92723054,0.00857493035299,0.0350150010782,0.0,0.0,7499.6361527,0.175075005391,0.0,0.175075005391,0.0,2500,0.0578232564617,2499.94217674,0.00251850431066,0.0194447678275,0.0,0.0194447678275,0,750,0,750,0.0289116282308,749.971088372,0.00125925215533,0.00972238391375,0.0,2000,0.0323810236185,1999.96761898,0.00141036241397,0.0108890699834,0,1499.94217674,0.0194447678275,0.0,0.0,0.0,43734.4718565,0.732092363821,0.0,2.87362567685,0,0.0983152218604,0.0788704540329,0.906883594547,0.731808589156,0.0,0.0197624227588,0.0705292553533,0.0705292553533,0.0352646276766,0.0394963829978,0.452879362883,0.452879362883,0.0905758725766,0.629202501266,0,0,0,0
18,7.67903279737,0.772574527616,0.355079515916,0.108987590982,0.0243209147105,0.00332201244778,0.00659037765734,12500,0.456492527675,12499.5435075,0.0542787242247,0.218676811379,0.0,0.218676811379,0,1500,0,1500,0.091298505535,1499.90870149,0.0108557448449,0.0437353622759,0.0,0.0,7499.54350747,0.218676811379,0.0,0.218676811379,0.0,2500,0.0730842738511,2499.92691573,0.00322742911908,0.0243209147105,0.0,0.0243209147105,0,750,0,750,0.0365421369255,749.963457863,0.00161371455954,0.0121604573552,0.0,2000,0.0409271933566,1999.95907281,0.00180736030669,0.0136197122379,0,1499.92691573,0.0243209147105,0.0,0.0,0.0,43733.6556612,0.918682310458,0.0,3.68982103509,0,0.12483469872,0.10051378401,1.14816390331,0.929487091935,0.0,0.0256054541005,0.0889083858381,0.0889083858381,0.044454192919,0.0497886960693,0.567409103708,0.567409103708,0.113481820742,0.789680068303,0,0,0,0
19,9.56985221125,0.966675977147,0.441386811349,0.136465386553,0.0303634755118,0.00418530945455,0.00828207422302,12500,0.571582770903,12499.4284172,0.0684732589206,0.272652922732,0.0,0.272652922732,0,1500,0,1500,0.114316554181,1499.88568345,0.0136946517841,0.0545305845464,0.0,0.0,7499.42841723,0.272652922732,0.0,0.272652922732,0.0,2500,0.0920768080001,2499.90792319,0.00411294373202,0.0303634755118,0.0,0.0303634755118,0,750,0,750,0.0460384040001,749.953961596,0.00205647186601,0.0151817377559,0.0,2000,0.0515630124801,1999.94843699,0.00230324848993,0.0170035462866,0,1499.90792319,0.0303634755118,0.0,0.0,0.0,43732.6325317,1.15033640242,0.0,4.71295045312,0,0.157923600184,0.127560124672,1.44887812843,1.1762252057,0.0,0.0329583245959,0.111758043858,0.111758043858,0.0558790219288,0.0625845045602,0.709521499773,0.709521499773,0.141904299955,0.988916609417,0,0,0,0
20,11.9044263741,1.20716345767,0.547631217659,0.170542450954,0.0378369369644,0.00525816972349,0.0103826677151,12500,0.714313930696,12499.2856861,0.0861241982832,0.339332856096,0.0,0.339332856096,0,1500,0,1500,0.142862786139,1499.85713721,0.0172248396566,0.0678665712193,0.0,0.0,7499.28568607,0.339332856096,0.0,0.339332856096,0.0,2500,0.115679733917,2499.88432027,0.00521736758168,0.0378369369644,0.0,0.0378369369644,0,750,0,750,0.0578398669584,749.942160133,0.00260868379084,0.0189184684822,0.0,2000,0.0647806509934,1999.93521935,0.00292172584574,0.0211886847001,0,1499.88432027,0.0378369369644,0.0,0.0,0.0,43731.3527053,1.43743846399,0.0,5.99277690147,0,0.199132580339,0.161295643375,1.82297281576,1.48363995967,0.0,0.0421874718644,0.140121830494,0.140121830494,0.0700609152471,0.0784682250767,0.885540144004,0.885540144004,0.177108028801,1.23584472024,0,0,0,0
