LAS,JFK,3705
JFK,LAS,3703
DFW,MIA,3672
MIA,DFW,3672
LGA,CLT,3658
ATL,PHX,3651
PHX,ATL,3644
PHL,DFW,3625
DFW,PHL,3625
IAD,SFO,3620
CLT,LGA,3610
IAD,LAX,3606
CLT,IAH,3603
MIA,JFK,3596
JFK,MIA,3594
CLT,BOS,3590
BOS,CLT,3590
ORD,BNA,3577
ATL,RIC,3572
RIC,ATL,3572
SJU,MCO,3552
SAN,OAK,3552
MCO,SJU,3550
DFW,SEA,3547
SEA,DFW,3545
OAK,SAN,3540
LAX,IAD,3525
ATL,STL,3525
STL,ATL,3520
BNA,ORD,3494
OAK,LAS,3493
MCI,ATL,3490
SFO,IAD,3478
ATL,MCI,3478
IAH,CLT,3469
SEA,SLC,3463
SLC,SEA,3460
LAS,OAK,3455
ORD,CMH,3442
FLL,EWR,3441
EWR,FLL,3440
IAH,SFO,3439
SEA,SMF,3438
DEN,PDX,3436
SFO,IAH,3426
SMF,SEA,3424
DTW,BOS,3424
PDX,DEN,3423
BOS,DTW,3423
CLT,PHL,3393
CLT,BWI,3378
BWI,CLT,3375
DEN,SNA,3353
DCA,MCO,3350
MCO,DCA,3349
EWR,IAH,3340
SNA,DEN,3331
SAN,DFW,3299
DEN,LGA,3299
DFW,SAN,3297
ORD,DSM,3290
LGA,DEN,3285
PDX,LAX,3279
LAX,PDX,3278
ATL,CMH,3277
IAH,PHX,3275
PHX,IAH,3273
CMH,ATL,3266
CMH,ORD,3264
ATL,PIT,3255
PIT,ATL,3251
SFO,SLC,3249
SEA,OAK,3235
BNA,ATL,3231
ATL,BNA,3230
OAK,SEA,3221
RNO,LAS,3218
IAH,EWR,3217
LAS,RNO,3216
BHM,ATL,3212
ATL,BHM,3211
CHS,ATL,3197
ATL,CHS,3197
SAN,SEA,3192
SEA,SAN,3189
ORD,MSN,3185
MSN,ORD,3181
DCA,DFW,3178
GEG,SEA,3178
SEA,GEG,3178
DFW,DCA,3177
DEN,IAD,3171
SMF,PHX,3164
AUS,ATL,3163
PHX,SMF,3160
ATL,MKE,3160
MKE,ATL,3156
ATL,AUS,3154
SAV,ATL,3140
ATL,SAV,3140
SFO,ATL,3127
ATL,SFO,3126
MCO,BWI,3120
BWI,MCO,3113
SJC,PHX,3111
ATL,MEM,3111
MEM,ATL,3108
PHL,CLT,3103
PHX,SJC,3102
PHX,PDX,3102
IAD,DEN,3100
PDX,PHX,3098
